Unnamed: 0.1,language,rating,category,text
0,russian,5.0,perfumes,"парфюм оригинальный . все ,  профессиональный магазин .  :)  обожать их ! доставка город быстрый ! 
"
1,russian,5.0,perfumes,"любимый dkny . запах просто шикарный . спасибо kaspi . kz parfum - shop . kz 
"
2,russian,5.0,perfumes,"шикарный запах ! безумно нравиться ! не пожалеть ! будить чувствовать королева ! 
"
4,russian,4.0,perfumes,"запах просто классный ,  то ,  нужно летний время . принимать душа брызгаться ,  далеко парфюм делать свой дело проявлять не запах какой-то парфюм ,  мой ,  именно запах мой тело душа ,  чистый запах ,  после ,  температура тело горячий ,  аромат проявлять себя ,  запах какой-то нежный цветок ,  едва улавливать ,  появляться снова исчезать ,  порхать ,  не похожий не какой другой . рад ,  приобретать данный аромат ,  нравиться ,  не слышать свой парфюм другой рядом находиться человек понравиться качество товар ,  запах ,  ожидать ,  прямой суперский ,  доставлять очень быстро единственный ,  не понравиться ,  то ,  курьер не захотеть подниматься квартира сказать ,  спускаться ,  настаивать 
"
5,russian,5.0,perfumes,"парфюм хороший ,  оригинал ! магазин parfum - shop - kz отличный ,  покупать не раз ! пользоваться самовывоз ! спасибо каспий магазин ! удобно ,  быстро ! 
"
6,russian,5.0,perfumes,"доставка работать супер ! аромат неповторимый ,  ожидать ! спасибо ! 
"
7,russian,2.0,perfumes,"запах нестойкий . доставка ,  сказать ,  осуществлять 16 май ,  доставлять 17 май вечер . пожалеть ,  купить 
"
8,russian,5.0,perfumes,"любить аромат . 
"
9,russian,5.0,perfumes,"очень вкусный вода . довольно стойкий . 
"
10,russian,5.0,perfumes,"очень долго ждать появление kaspi . kz ! духи просто супер ! стойкий запах ! не пожалеть ! 
"
11,russian,5.0,perfumes,"духи приходить быстро ,  задержка . качество супер . стойкий аромат ,  волнующий чарующий ! влюбленный 
"
12,russian,5.0,perfumes,"аромат супер ,  стойкий .  
 с первый пшик слышно оригинал . 
"
14,russian,3.0,perfumes,"доставка быстрый ,  очень вежливый сервис . качество сам товар сомневаться ,  запах немного отличаться оригинал . 
"
15,russian,1.0,perfumes,"не стойкий . 
"
16,russian,1.0,perfumes,"запах не тот ,  нестойкий . брать бьютимание . заканчиваться ,  решать взять . разница очень большой . нет возврат ,  подарить родной . не советовать покупать 
"
17,russian,5.0,perfumes,"муж довольный ,  запах стойкий ! спасибо магазин ,  kaspi . kz курьер . 
"
18,russian,5.0,perfumes,"запах стойкий ,  спасибо вы ! 
"
19,russian,5.0,perfumes,"аромат высоко всякий похвала ! 
"
20,russian,5.0,perfumes,"очень классный запах ,  муж понравиться . 
"
21,russian,4.0,perfumes,"запах нормальный . оригинал . но ... нестойкий ,  день держаться 
"
22,russian,5.0,perfumes,"заказ сделать вовремя ,  несколько день товар значительно подорожать ! товар оригинальный ! сомнение никакой нет ! аромат очень классный ! шлейф мощный ,  стойкость средний ,  мой кожа 2 - 3 час . 
"
23,russian,5.0,perfumes,"товар понравиться ! советовать ! 
"
26,russian,5.0,perfumes,"шикарный 
"
28,russian,5.0,perfumes,"отличный парфюм ! запах оригинал 
"
29,russian,4.0,perfumes,"не пожалеть запах ! не чуять ,  реакция прохожий ,  окружающие просто нечто . класс ,  советовать 
"
30,russian,1.0,perfumes,"запах приятный держаться не час ,  нестойкий ,  пожалеть ,  взять 
"
31,russian,5.0,perfumes,"великолепный запах 
"
32,russian,5.0,perfumes,"супер ! все советовать ,  достойный парфюм ! 
"
33,russian,5.0,perfumes,"супер ,  спасибо 
"
35,russian,3.0,perfumes,"быстро исчезать запах ! 
"
36,russian,5.0,perfumes,"свежий запах . качественный устраивать 
"
37,russian,1.0,perfumes,"что-то не понравиться вообще ,  нестойкий 
"
38,russian,1.0,perfumes,"нестойкий запах . пожалеть ,  купить . 
"
39,russian,5.0,perfumes,"прекрасный стойкий запах . 
 брать сын день рождение . 
 переживать настоящий нет ? парфюм ,  привозить франция . 
 слава бог ,  угадывать . 
"
40,russian,5.0,perfumes,"духи супер . 
"
41,russian,1.0,perfumes,"качество 0 ,  запах 0 ,  стойкость 0 балл . 
"
42,russian,1.0,perfumes,"запах нестойкий (
"
44,russian,3.0,perfumes,"брать сын . советовать . запах отличный ,  стойкость не очень . 
"
45,russian,5.0,perfumes,"суперский ,  качество ,  запах долго держаться ,  спасибо . 
"
46,russian,5.0,perfumes,"приходить быстро ,  аромат обалденный ,  стойкость отличный 
"
47,russian,3.0,perfumes,"нестойкий аромат . 
"
48,russian,5.0,perfumes,"парфюм отличный ,  держаться очень долго 
"
49,russian,5.0,perfumes,"очень нравиться аромат ! доставка очень быстрый ! 
"
50,russian,5.0,perfumes,"быстрый доставка ,  стойкий запах 
"
51,russian,5.0,perfumes,"очень стойкий . любимый аромат муж . спасибо kaspi . kz магазин . 
"
52,russian,5.0,perfumes,"качественно 
"
53,russian,5.0,perfumes,"духи классный . заказ приходить вовремя . 
"
54,russian,5.0,perfumes,"доставка очень быстрый запах обалденный такой нет 
"
57,russian,5.0,perfumes,"свежий ,  стойкий аромат . спасибо 
"
58,russian,2.0,perfumes,"заказывать ,  прочитывать отзыв ,  аромат приятный . поначалу напоминать запах гель душа нестойкий 
"
59,russian,5.0,perfumes,"просто супер запах ,  офигенный ! 
"
60,russian,5.0,perfumes,"отличный продукт . спасибо . 
"
61,russian,5.0,perfumes,"хороший аромат 
"
62,russian,5.0,perfumes,"давно пользоваться фаренгейт ,  запах отличный . товар соответствующий . 
"
63,russian,1.0,perfumes,"не знать ,  мнение другой ,  качество вообще 0 % . товар не понравиться ,  запах вообще не держаться . 
"
64,russian,5.0,perfumes,"шлейф километровый ,  запах держаться одежда пять семь час . советовать 2 - 3 пшикать ,  иначе перебор . 
"
65,russian,5.0,perfumes,"запах просто огонь . 
 стойкий парфюм ,  удобный флакон . 
"
66,russian,5.0,perfumes,"парфюм отличный . очень стойкий . 
"
67,russian,5.0,perfumes,"аромат очень интересный . стильный ,  благородный ,  мужской . стойкость средний ,  шлейф средний . хороший парфюм повседневный носок 
"
68,russian,5.0,perfumes,"нежный аромат ,  очень нравиться . 
"
69,russian,5.0,perfumes,"супер запах очень хороший ,  стойкий ,  не резкий 
"
70,russian,1.0,perfumes,"запах вообще не стойкий ,  полчаса уходить . очень плохо . 
"
71,russian,5.0,perfumes,"быстрый доставка ,  стойкий аромат . не первый приобретать данный парфюм . 
"
72,russian,5.0,perfumes,"спасибо доставка . запах очень приятный ,  сладкий свежий нота травяной мускатный . брать муж ,  понравиться я ,  он . 
"
73,russian,5.0,perfumes,"очень хороший товар ,  качество супер ! все понравиться ! 
"
74,russian,5.0,perfumes,"аромат стойкий ,  мой мужчина восторг 
"
75,russian,5.0,perfumes,"запах стойкий ,  очень понравиться ! 
"
76,russian,5.0,perfumes,"вовремя оперативно ! парфюм нет слово ,  ежедневно получать комплимент давать )
"
77,russian,3.0,perfumes,"не такой ,  рано . стойкость шлейф не тот ,  запах отличаться тот ,  рано 
"
78,russian,1.0,perfumes,"нестойкий свой деньги . 
"
79,russian,5.0,perfumes,"соответствие заявлять характеристика . 
"
80,russian,5.0,perfumes,"заказывать сын криды авентус . мы очень понравиться ,  100 %  оригинал . запах слово не передавать 
"
81,russian,4.0,perfumes,"сильвер маунтин нравиться ,  авентус аромат классный цена не очень - то соответствовать качество 
"
82,russian,5.0,perfumes,"аромат высота ,  обращать внимание выражать симпатия . все вкусно пахнуть ! 
"
83,russian,5.0,perfumes,"отличный парфюм ,  стойкий запах 
"
84,russian,5.0,perfumes,"хороший продукт . 
"
85,russian,5.0,perfumes,"очень стойкий красивый нота 
"
86,russian,5.0,perfumes,"классный аромат ,  долго держаться . 
"
87,russian,5.0,perfumes,"аромат 2019 год . мой мнение ,  подходить 35 год . очень крутой стойкий . уместный день ,  вечер ,  любой сезон . не приторный . шлейф бомбический ,  сбивать мысль )  советовать приобретение . 
"
88,russian,5.0,perfumes,"отлично ,  товар очень понравиться 
"
89,russian,5.0,perfumes,"товар оригинал . относительно стойкий . шлейфить красиво . очень часто думать ,  авентус )  получать комплимент часто работа . хотеть попробовать ysl la nuit de l ' homme 
"
90,russian,5.0,perfumes,"парфюм отличный ,  срок доставка 2 - 3 день опаздывать 
"
91,russian,5.0,perfumes,"класс ! 
"
92,kazakh,5.0,perfumes,"маған ұнады ! 
"
